CNES;UNIDADE;COD INT;Procedimento/Grupo;SUB_ITEM_CODIGO;SUB_ITEM_DESCRICAO;TIPO;REGULADO;VALORES
7097956;ABRIGO MOACYR ALVES;320055;CONSULTA EM CARDIOLOGIA - RISCO CIRURGICO - RETORNO;;;FÍSICO;Não;
7097956;ABRIGO MOACYR ALVES;2300104;CONSULTA EM CLINICA MEDICA;;;FÍSICO;Não;
7097956;ABRIGO MOACYR ALVES;100009;CONSULTA EM ENFERMAGEM;;;FÍSICO;Não;
7097956;ABRIGO MOACYR ALVES;701214;CONSULTA EM FISIATRIA - GERAL;;;FÍSICO;Sim;
7097956;ABRIGO MOACYR ALVES;701724;CONSULTA EM FISIATRIA - RETORNO;;;FÍSICO;Não;
7097956;ABRIGO MOACYR ALVES;701022;CONSULTA EM FISIOTERAPIA;;;FÍSICO;Sim;
7097956;ABRIGO MOACYR ALVES;701428;CONSULTA EM FISIOTERAPIA - ACIMA DE 60 ANOS;;;FÍSICO;Sim;
7097956;ABRIGO MOACYR ALVES;710368;CONSULTA EM FISIOTERAPIA - PEDIATRIA;;;FÍSICO;Sim;
7097956;ABRIGO MOACYR ALVES;702999;CONSULTA EM FONOAUDIOLOGIA;;;FÍSICO;Sim;
7097956;ABRIGO MOACYR ALVES;701243;CONSULTA EM FONOAUDIOLOGIA - INFANTIL;;;FÍSICO;Sim;
7097956;ABRIGO MOACYR ALVES;703221;CONSULTA EM NEUROLOGIA - DISTURBIO DO MOVIMENTO;;;FÍSICO;Sim;
7097956;ABRIGO MOACYR ALVES;703222;CONSULTA EM NEUROLOGIA - DISTURBIO DO MOVIMENTO - RETORNO;;;FÍSICO;Não;
7097956;ABRIGO MOACYR ALVES;701224;CONSULTA EM NEUROLOGIA - GERAL;;;FÍSICO;Sim;
7097956;ABRIGO MOACYR ALVES;701300;CONSULTA EM NEUROLOGIA - PEDIATRIA;;;FÍSICO;Sim;
7097956;ABRIGO MOACYR ALVES;701029;CONSULTA EM NEUROLOGIA PEDIATRIA - RETORNO;;;FÍSICO;Não;
7097956;ABRIGO MOACYR ALVES;4500085;CONSULTA EM NEUROLOGIA - REABILITACAO;;;FÍSICO;Sim;
7097956;ABRIGO MOACYR ALVES;701030;CONSULTA EM NEUROLOGIA - RETORNO;;;FÍSICO;Não;
7097956;ABRIGO MOACYR ALVES;498050;CONSULTA EM NEUROLOGIA - TOXINA BOTULINICA;;;FÍSICO;Sim;
7097956;ABRIGO MOACYR ALVES;701244;CONSULTA EM NUTRICAO;;;FÍSICO;Sim;
7097956;ABRIGO MOACYR ALVES;701365;CONSULTA EM NUTRICAO - RETORNO;;;FÍSICO;Não;
7097956;ABRIGO MOACYR ALVES;701225;CONSULTA EM OFTALMOLOGIA - GERAL;;;FÍSICO;Não;
7097956;ABRIGO MOACYR ALVES;703350;CONSULTA EM OFTALMOLOGIA - REABILITACAO;;;FÍSICO;Sim;
7097956;ABRIGO MOACYR ALVES;171102;CONSULTA EM OFTALMOLOGIA - REABILITACAO RETORNO;;;FÍSICO;Não;
7097956;ABRIGO MOACYR ALVES;701226;CONSULTA EM ORTOPEDIA - GERAL;;;FÍSICO;Sim;
7097956;ABRIGO MOACYR ALVES;9270003;CONSULTA EM ORTOPEDIA - GERAL - RETORNO;;;FÍSICO;Não;
7097956;ABRIGO MOACYR ALVES;701245;CONSULTA EM ORTOPEDIA - PEDIATRIA;;;FÍSICO;Sim;
7097956;ABRIGO MOACYR ALVES;320164;CONSULTA EM ORTOPEDIA - PEDIATRIA - RETORNO;;;FÍSICO;Não;
7097956;ABRIGO MOACYR ALVES;701227;CONSULTA EM OTORRINOLARINGOLOGIA - GERAL;;;FÍSICO;Sim;
7097956;ABRIGO MOACYR ALVES;709001;CONSULTA EM OTORRINOLARINGOLOGIA - PEDIATRICA;;;FÍSICO;Sim;
7097956;ABRIGO MOACYR ALVES;709015;CONSULTA EM OTORRINOLARINGOLOGIA - PEDIATRICA - RETORNO;;;FÍSICO;Não;
7097956;ABRIGO MOACYR ALVES;320173;CONSULTA EM OTORRINOLARINGOLOGIA - RETORNO;;;FÍSICO;Não;
7097956;ABRIGO MOACYR ALVES;701699;CONSULTA EM PEDIATRIA - OFTALMOLOGIA - ESTRABISMO;;;FÍSICO;Sim;
7097956;ABRIGO MOACYR ALVES;710533;CONSULTA EM PEDIATRIA - OFTALMOLOGIA - ESTRABISMO - RETORNO;;;FÍSICO;Sim;
7097956;ABRIGO MOACYR ALVES;702104;CONSULTA EM PSICOLOGIA;;;FÍSICO;Sim;
7097956;ABRIGO MOACYR ALVES;710402;CONSULTA EM PSICOLOGIA - PEDIATRICA;;;FÍSICO;Sim;
7097956;ABRIGO MOACYR ALVES;701260;CONSULTA EM PSIQUIATRIA - GERAL;;;FÍSICO;Sim;
7097956;ABRIGO MOACYR ALVES;141002;CONSULTA EM PSIQUIATRIA - PEDIATRICA;;;FÍSICO;Sim;
7097956;ABRIGO MOACYR ALVES;141004;CONSULTA EM PSIQUIATRIA - PEDIATRICA - RETORNO;;;FÍSICO;Não;
7097956;ABRIGO MOACYR ALVES;701064;CONSULTA EM PSIQUIATRIA - RETORNO;;;FÍSICO;Não;
7097956;ABRIGO MOACYR ALVES;701903;CONSULTA EM SERVICO SOCIAL;;;FÍSICO;Não;
7097956;ABRIGO MOACYR ALVES;701652;CONSULTA EM TERAPIA OCUPACIONAL;;;FÍSICO;Não;
7097956;ABRIGO MOACYR ALVES;210000;GRUPO - CONSULTA/ ATENDIMENTO/ ACOMPANHAMENTO (PSICOLOGIA);210063;ACOMPANHAMENTO NEUROPSICOLOGICO DE PACIENTE EM REABILITACAO (0210063);FÍSICO;Não;
7097956;ABRIGO MOACYR ALVES;210000;GRUPO - CONSULTA/ ATENDIMENTO/ ACOMPANHAMENTO (PSICOLOGIA);210067;ACOMPANHAMENTO PSICOPEDAGOGICO DE PACIENTE EM REABILITACAO (0210067);FÍSICO;Não;
7097956;ABRIGO MOACYR ALVES;210000;GRUPO - CONSULTA/ ATENDIMENTO/ ACOMPANHAMENTO (PSICOLOGIA);210003;APLICACAO DE TESTE P/ PSICODIAGNOSTICO (0210003);FÍSICO;Não;
7097956;ABRIGO MOACYR ALVES;210000;GRUPO - CONSULTA/ ATENDIMENTO/ ACOMPANHAMENTO (PSICOLOGIA);210066;ATENDIMENTO / ACOMPANHAMENTO DE PACIENTE EM REABILITACAO DO DESENVOLVIMENTO NEUROPSICOMOTOR (0210066);FÍSICO;Não;
7097956;ABRIGO MOACYR ALVES;210000;GRUPO - CONSULTA/ ATENDIMENTO/ ACOMPANHAMENTO (PSICOLOGIA);210061;ATENDIMENTO / ACOMPANHAMENTO EM REABILITAÇÃO NAS MULTIPLAS DEFICIÊNCIAS (0210061);FÍSICO;Não;
7097956;ABRIGO MOACYR ALVES;210000;GRUPO - CONSULTA/ ATENDIMENTO/ ACOMPANHAMENTO (PSICOLOGIA);210073;ATENDIMENTO EM OFICINA TERAPÊUTICA II PARA PORTADOR DE NECESSIDADES ESPECIAIS (POR OFICINA) (0210073);FÍSICO;Não;
7097956;ABRIGO MOACYR ALVES;210000;GRUPO - CONSULTA/ ATENDIMENTO/ ACOMPANHAMENTO (PSICOLOGIA);210075;ATENDIMENTO EM PSICOTERAPIA DE GRUPO (0210075);FÍSICO;Não;
7097956;ABRIGO MOACYR ALVES;210000;GRUPO - CONSULTA/ ATENDIMENTO/ ACOMPANHAMENTO (PSICOLOGIA);210059;ATIVIDADE EDUCATIVA / ORIENTAÇÃO EM GRUPO NA ATENÇÃO ESPECIALIZADA (0210059);FÍSICO;Não;
7097956;ABRIGO MOACYR ALVES;210000;GRUPO - CONSULTA/ ATENDIMENTO/ ACOMPANHAMENTO (PSICOLOGIA);210072;ESCUTA INICIAL / ORIENTAÇÃO (ACOLHIMENTO A DEMANDA ESPONT NEA) (0210072);FÍSICO;Não;
7097956;ABRIGO MOACYR ALVES;210000;GRUPO - CONSULTA/ ATENDIMENTO/ ACOMPANHAMENTO (PSICOLOGIA);210074;ESTIMULAÇÃO PRECOCE PARA DESENVOLVIMENTO NEUROPSICOMOTOR (0210074);FÍSICO;Não;
7097956;ABRIGO MOACYR ALVES;210000;GRUPO - CONSULTA/ ATENDIMENTO/ ACOMPANHAMENTO (PSICOLOGIA);210058;TERAPIA EM GRUPO (0210058);FÍSICO;Não;
7097956;ABRIGO MOACYR ALVES;210000;GRUPO - CONSULTA/ ATENDIMENTO/ ACOMPANHAMENTO (PSICOLOGIA);210057;TERAPIA INDIVIDUAL (0210057);FÍSICO;Não;
7097956;ABRIGO MOACYR ALVES;1708000;GRUPO - DIAGNOSE EM OTORRINOLARINGOLOGIA;1708223;AUDIOMETRIA DE REFORCO VISUAL - VRA (VIA AEREA/OSSEA) (1708223);FINANCEIRO;Sim;21
7097956;ABRIGO MOACYR ALVES;1708000;GRUPO - DIAGNOSE EM OTORRINOLARINGOLOGIA;1708224;AUDIOMETRIA EM CAMPO LIVRE C/PESQ.DO GANHO FUNCIONAL (1708224);FINANCEIRO;Sim;20,13
7097956;ABRIGO MOACYR ALVES;1708000;GRUPO - DIAGNOSE EM OTORRINOLARINGOLOGIA;1708222;AUDIOMETRIA TONAL LIMIAR (VIA AREA/OSSEA) (1708222);FINANCEIRO;Sim;21
7097956;ABRIGO MOACYR ALVES;1708000;GRUPO - DIAGNOSE EM OTORRINOLARINGOLOGIA;1708020;AVALIACAO AUDITIVA COMPORTAMENTAL (1708020);FINANCEIRO;Sim;18
7097956;ABRIGO MOACYR ALVES;1708000;GRUPO - DIAGNOSE EM OTORRINOLARINGOLOGIA;1708021;AVALIACAO DE LINGUAGEM ESCRITA / LEITURA (1708021);FINANCEIRO;Sim;4,11
7097956;ABRIGO MOACYR ALVES;1708000;GRUPO - DIAGNOSE EM OTORRINOLARINGOLOGIA;1708022;AVALIACAO DE LINGUAGEM ORAL (1708022);FINANCEIRO;Sim;4,11
7097956;ABRIGO MOACYR ALVES;1708000;GRUPO - DIAGNOSE EM OTORRINOLARINGOLOGIA;1708236;EMISSOES OTOACUSTICA EVOCADAS TRANS.E PROD.DISTORC. EOA (1708236);FINANCEIRO;Sim;46,88
7097956;ABRIGO MOACYR ALVES;1708000;GRUPO - DIAGNOSE EM OTORRINOLARINGOLOGIA;1708208;EXAME DE OTOEMISSOES ACUSTICAS EVOCADAS TRANSIENTES (1708208);FINANCEIRO;Sim;13,51
7097956;ABRIGO MOACYR ALVES;1708000;GRUPO - DIAGNOSE EM OTORRINOLARINGOLOGIA;1708221;IMITANCIOMETRIA (TIMPANOMETRIA, COMPLAC.ESTAT.E REFL.ESTAPED (1708221);FINANCEIRO;Sim;23
7097956;ABRIGO MOACYR ALVES;1708000;GRUPO - DIAGNOSE EM OTORRINOLARINGOLOGIA;1708220;LOGOAUDIOMETRIA (LDV,IRF,LRF) (1708220);FINANCEIRO;Sim;26,25
7097956;ABRIGO MOACYR ALVES;1708000;GRUPO - DIAGNOSE EM OTORRINOLARINGOLOGIA;1708210;PESQUISA DE POTENCIAIS AUDITIVOS DE TRONCO CEREBRAL (BERA) (1708210);FINANCEIRO;Sim;13,51
7097956;ABRIGO MOACYR ALVES;1708000;GRUPO - DIAGNOSE EM OTORRINOLARINGOLOGIA;1708032;POTENCIAL EVOCADO AUDITIVO (1708032);FINANCEIRO;Sim;4,06
7097956;ABRIGO MOACYR ALVES;1708000;GRUPO - DIAGNOSE EM OTORRINOLARINGOLOGIA;1708016;POTENCIAL EVOCADO AUDITIVO DE CURTA MEDIA E LONGA LATENCIA (1708016);FINANCEIRO;Sim;46,88
7097956;ABRIGO MOACYR ALVES;1708000;GRUPO - DIAGNOSE EM OTORRINOLARINGOLOGIA;1708017;PROVA DE FUNCAO TUBARIA (1708017);FINANCEIRO;Sim;4,8
7097956;ABRIGO MOACYR ALVES;1708000;GRUPO - DIAGNOSE EM OTORRINOLARINGOLOGIA;1708004;TESTES AUDITIVOS SUPRALIMINARES (1708004);FINANCEIRO;Sim;1,37
7097956;ABRIGO MOACYR ALVES;1708000;GRUPO - DIAGNOSE EM OTORRINOLARINGOLOGIA;1708240;TESTES DE PROCESSAMENTO AUDITIVO (1708240);FINANCEIRO;Sim;9,36
7097956;ABRIGO MOACYR ALVES;1401000;GRUPO - EXAMES ULTRA-SONOGRAFICOS;1401998;ULTRA-SONOGRAFIA DE ABDOMEN TOTAL (1401998);FINANCEIRO;Não;37,95
7097956;ABRIGO MOACYR ALVES;1401000;GRUPO - EXAMES ULTRA-SONOGRAFICOS;1401977;ULTRA-SONOGRAFIA DE MAMAS (BILATERAL) (1401977);FINANCEIRO;Não;24,2
7097956;ABRIGO MOACYR ALVES;1401000;GRUPO - EXAMES ULTRA-SONOGRAFICOS;1401997;ULTRA-SONOGRAFIA DE PROSTATA (VIA ABDOMINAL) (1401997);FINANCEIRO;Não;24,2
7097956;ABRIGO MOACYR ALVES;1401000;GRUPO - EXAMES ULTRA-SONOGRAFICOS;1401980;ULTRA-SONOGRAFIA DE TIREOIDE (1401980);FINANCEIRO;Não;24,2
7097956;ABRIGO MOACYR ALVES;1401000;GRUPO - EXAMES ULTRA-SONOGRAFICOS;1401405;ULTRA-SONOGRAFIA DO APARELHO URINARIO (RINS, BEXIGA) (1401405);FINANCEIRO;Não;24,2
7097956;ABRIGO MOACYR ALVES;1401000;GRUPO - EXAMES ULTRA-SONOGRAFICOS;1401201;ULTRA-SONOGRAFIA OBSTETRICA (1401201);FINANCEIRO;Não;24,2
7097956;ABRIGO MOACYR ALVES;1401000;GRUPO - EXAMES ULTRA-SONOGRAFICOS;1401101;ULTRA-SONOGRAFIA PELVICA (GINECOLOGICA) (1401101);FINANCEIRO;Não;24,2
7097956;ABRIGO MOACYR ALVES;1401000;GRUPO - EXAMES ULTRA-SONOGRAFICOS;1401202;ULTRA-SONOGRAFIA TRANSVAGINAL (1401202);FINANCEIRO;Não;24,2
7097956;ABRIGO MOACYR ALVES;1801000;GRUPO - FISIOTERAPIA (POR SESSAO);1801130;ATEND FISIOTERAPEUTICO EM PACIENTE C/ DISTURBIOS NEURO-CINETICO-FUNCIONAIS S/ COMPLI SIS - ADULTO (1801130);FÍSICO;Não;
7097956;ABRIGO MOACYR ALVES;1801000;GRUPO - FISIOTERAPIA (POR SESSAO);1801022;ATENDIMENTO FISIOTERAPEUTICO EM PACIENTE C/ COMPROMETIMENTO COGNITIVO (1801022);FÍSICO;Não;
7097956;ABRIGO MOACYR ALVES;1801000;GRUPO - FISIOTERAPIA (POR SESSAO);1801033;ATENDIMENTO FISIOTERAPEUTICO EM PACIENTE NO PRE/POS-OPERATORIO DE NEUROCIRURGIA (1801033);FÍSICO;Não;
7097956;ABRIGO MOACYR ALVES;1801000;GRUPO - FISIOTERAPIA (POR SESSAO);1801032;ATENDIMENTO FISIOTERAPEUTICO EM PACIENTES C/ DISTURBIOS NEURO-CINETICO-FUNCIONAIS C/COMPLICACOES SIS (1801032);FÍSICO;Não;
7097956;ABRIGO MOACYR ALVES;1801000;GRUPO - FISIOTERAPIA (POR SESSAO);1801016;ATENDIMENTO FISIOTERAPEUTICO EM PACIENTES NO PRE E POS-OPERATORIO NAS DISFUNCOES MUSCULO ESQUELETICA (1801016);FÍSICO;Não;
7097956;ABRIGO MOACYR ALVES;1801000;GRUPO - FISIOTERAPIA (POR SESSAO);1801019;ATENDIMENTO FISIOTERAPEUTICO NAS ALTERACOES MOTORAS (1801019);FÍSICO;Não;
7097956;ABRIGO MOACYR ALVES;1801000;GRUPO - FISIOTERAPIA (POR SESSAO);1801037;ATENDIMENTO FISIOTERAPÊUTICO NAS DESORDENS DO DESEN. NEURO MOTOR (1801037);FÍSICO;Não;
4985362;AMBULATORIO VIRTUAL DO AMAZONAS;739131;TELECONSULTA EM ALERGIA E IMUNOLOGIA GERAL;;;FÍSICO;Sim;
4985362;AMBULATORIO VIRTUAL DO AMAZONAS;739132;TELECONSULTA EM ALERGIA E IMUNOLOGIA GERAL - RETORNO;;;FÍSICO;Não;
4985362;AMBULATORIO VIRTUAL DO AMAZONAS;739135;TELECONSULTA EM CARDIOLOGIA GERAL;;;FÍSICO;Sim;
4985362;AMBULATORIO VIRTUAL DO AMAZONAS;739136;TELECONSULTA EM CARDIOLOGIA GERAL - RETORNO;;;FÍSICO;Não;
4985362;AMBULATORIO VIRTUAL DO AMAZONAS;739148;TELECONSULTA EM DERMATOLOGIA GERAL;;;FÍSICO;Sim;
4985362;AMBULATORIO VIRTUAL DO AMAZONAS;739149;TELECONSULTA EM DERMATOLOGIA GERAL - RETORNO;;;FÍSICO;Não;
4985362;AMBULATORIO VIRTUAL DO AMAZONAS;739140;TELECONSULTA EM ENDOCRINOLOGIA E METABOLOGIA GERAL;;;FÍSICO;Sim;
4985362;AMBULATORIO VIRTUAL DO AMAZONAS;739141;TELECONSULTA EM ENDOCRINOLOGIA E METABOLOGIA GERAL - RETORNO;;;FÍSICO;Não;
4985362;AMBULATORIO VIRTUAL DO AMAZONAS;739142;TELECONSULTA EM ENDOCRINOLOGIA E METABOLOGIA PEDIATRICA;;;FÍSICO;Sim;
4985362;AMBULATORIO VIRTUAL DO AMAZONAS;739143;TELECONSULTA EM ENDOCRINOLOGIA E METABOLOGIA PEDIATRICA - RETORNO;;;FÍSICO;Não;
4985362;AMBULATORIO VIRTUAL DO AMAZONAS;739152;TELECONSULTA EM GASTROENTEROLOGIA GERAL;;;FÍSICO;Sim;
4985362;AMBULATORIO VIRTUAL DO AMAZONAS;739153;TELECONSULTA EM GASTROENTEROLOGIA GERAL - RETORNO;;;FÍSICO;Não;
4985362;AMBULATORIO VIRTUAL DO AMAZONAS;739216;TELECONSULTA EM GERIATRIA;;;FÍSICO;Sim;
4985362;AMBULATORIO VIRTUAL DO AMAZONAS;739217;TELECONSULTA EM GERIATRIA - RETORNO;;;FÍSICO;Não;
4985362;AMBULATORIO VIRTUAL DO AMAZONAS;498197;TELECONSULTA EM GINECOLOGIA - GERAL;;;FÍSICO;Sim;
4985362;AMBULATORIO VIRTUAL DO AMAZONAS;498195;TELECONSULTA EM GINECOLOGIA OBSTETRICIA;;;FÍSICO;Sim;
4985362;AMBULATORIO VIRTUAL DO AMAZONAS;498196;TELECONSULTA EM GINECOLOGIA OBSTETRICIA - RETORNO;;;FÍSICO;Sim;
4985362;AMBULATORIO VIRTUAL DO AMAZONAS;498198;TELECONSULTA EM GINECOLOGIA - RETORNO;;;FÍSICO;Não;
4985362;AMBULATORIO VIRTUAL DO AMAZONAS;739156;TELECONSULTA EM INFECTOLOGIA GERAL;;;FÍSICO;Sim;
4985362;AMBULATORIO VIRTUAL DO AMAZONAS;739157;TELECONSULTA EM INFECTOLOGIA GERAL - RETORNO;;;FÍSICO;Não;
4985362;AMBULATORIO VIRTUAL DO AMAZONAS;739144;TELECONSULTA EM NEUROLOGIA GERAL;;;FÍSICO;Sim;
4985362;AMBULATORIO VIRTUAL DO AMAZONAS;739145;TELECONSULTA EM NEUROLOGIA GERAL - RETORNO;;;FÍSICO;Não;
4985362;AMBULATORIO VIRTUAL DO AMAZONAS;739146;TELECONSULTA EM NEUROLOGIA PEDIATRICA;;;FÍSICO;Sim;
4985362;AMBULATORIO VIRTUAL DO AMAZONAS;739147;TELECONSULTA EM NEUROLOGIA PEDIATRICA - RETORNO;;;FÍSICO;Não;
4985362;AMBULATORIO VIRTUAL DO AMAZONAS;739220;TELECONSULTA EM NUTRICAO GERAL;;;FÍSICO;Sim;
4985362;AMBULATORIO VIRTUAL DO AMAZONAS;739221;TELECONSULTA EM NUTRICAO GERAL – RETORNO;;;FÍSICO;Não;
4985362;AMBULATORIO VIRTUAL DO AMAZONAS;739182;TELECONSULTA EM ORTOPEDIA GERAL;;;FÍSICO;Sim;
4985362;AMBULATORIO VIRTUAL DO AMAZONAS;739183;TELECONSULTA EM ORTOPEDIA GERAL - RETORNO;;;FÍSICO;Não;
4985362;AMBULATORIO VIRTUAL DO AMAZONAS;739164;TELECONSULTA EM PEDIATRIA;;;FÍSICO;Sim;
4985362;AMBULATORIO VIRTUAL DO AMAZONAS;739235;TELECONSULTA EM PEDIATRIA - NEURODIVERGENTE;;;FÍSICO;Sim;
4985362;AMBULATORIO VIRTUAL DO AMAZONAS;739165;TELECONSULTA EM PEDIATRIA - RETORNO;;;FÍSICO;Não;
4985362;AMBULATORIO VIRTUAL DO AMAZONAS;739224;TELECONSULTA EM PSICOLOGIA GERAL;;;FÍSICO;Sim;
4985362;AMBULATORIO VIRTUAL DO AMAZONAS;739225;TELECONSULTA EM PSICOLOGIA GERAL – RETORNO;;;FÍSICO;Não;
4985362;AMBULATORIO VIRTUAL DO AMAZONAS;739226;TELECONSULTA EM PSICOLOGIA PEDIATRICA;;;FÍSICO;Sim;
4985362;AMBULATORIO VIRTUAL DO AMAZONAS;739227;TELECONSULTA EM PSICOLOGIA PEDIATRICA – RETORNO;;;FÍSICO;Não;
4985362;AMBULATORIO VIRTUAL DO AMAZONAS;739166;TELECONSULTA EM PSIQUIATRIA GERAL;;;FÍSICO;Sim;
4985362;AMBULATORIO VIRTUAL DO AMAZONAS;739167;TELECONSULTA EM PSIQUIATRIA GERAL - RETORNO;;;FÍSICO;Não;
4985362;AMBULATORIO VIRTUAL DO AMAZONAS;739168;TELECONSULTA EM PSIQUIATRIA PEDIATRICA;;;FÍSICO;Sim;
4985362;AMBULATORIO VIRTUAL DO AMAZONAS;739169;TELECONSULTA EM PSIQUIATRIA PEDIATRICA - RETORNO;;;FÍSICO;Não;
4985362;AMBULATORIO VIRTUAL DO AMAZONAS;739212;TELECONSULTA EM UROLOGIA GERAL;;;FÍSICO;Sim;
4985362;AMBULATORIO VIRTUAL DO AMAZONAS;739213;TELECONSULTA EM UROLOGIA GERAL - RETORNO;;;FÍSICO;Não;
197130;AMBULATORIO VIRTUAL DO REGULA MAIS BRASIL;701205;CONSULTA EM CARDIOLOGIA - GERAL;;;FÍSICO;Sim;
197130;AMBULATORIO VIRTUAL DO REGULA MAIS BRASIL;4800037;CONSULTA EM CIRURGIA GINECOLOGICA - ENDOMETRIOSE;;;FÍSICO;Sim;
197130;AMBULATORIO VIRTUAL DO REGULA MAIS BRASIL;4800031;CONSULTA EM CIRURGIA GINECOLOGICA - NINFOPLASTIA;;;FÍSICO;Sim;
197130;AMBULATORIO VIRTUAL DO REGULA MAIS BRASIL;701211;CONSULTA EM CIRURGIA VASCULAR - GERAL;;;FÍSICO;Sim;
197130;AMBULATORIO VIRTUAL DO REGULA MAIS BRASIL;701213;CONSULTA EM ENDOCRINOLOGIA E METABOLOGIA - GERAL;;;FÍSICO;Sim;
197130;AMBULATORIO VIRTUAL DO REGULA MAIS BRASIL;701215;CONSULTA EM GASTROENTEROLOGIA - GERAL;;;FÍSICO;Sim;
197130;AMBULATORIO VIRTUAL DO REGULA MAIS BRASIL;701300;CONSULTA EM NEUROLOGIA - PEDIATRIA;;;FÍSICO;Sim;
197130;AMBULATORIO VIRTUAL DO REGULA MAIS BRASIL;701226;CONSULTA EM ORTOPEDIA - GERAL;;;FÍSICO;Sim;
197130;AMBULATORIO VIRTUAL DO REGULA MAIS BRASIL;701245;CONSULTA EM ORTOPEDIA - PEDIATRIA;;;FÍSICO;Sim;
197130;AMBULATORIO VIRTUAL DO REGULA MAIS BRASIL;701228;CONSULTA EM PNEUMOLOGIA - GERAL;;;FÍSICO;Sim;
197130;AMBULATORIO VIRTUAL DO REGULA MAIS BRASIL;701229;CONSULTA EM PROCTOLOGIA - GERAL;;;FÍSICO;Sim;
197130;AMBULATORIO VIRTUAL DO REGULA MAIS BRASIL;701797;CONSULTA EM PSIQUIATRIA - ALCOOL E DROGA;;;FÍSICO;Sim;
197130;AMBULATORIO VIRTUAL DO REGULA MAIS BRASIL;701260;CONSULTA EM PSIQUIATRIA - GERAL;;;FÍSICO;Sim;
197130;AMBULATORIO VIRTUAL DO REGULA MAIS BRASIL;141002;CONSULTA EM PSIQUIATRIA - PEDIATRICA;;;FÍSICO;Sim;
197130;AMBULATORIO VIRTUAL DO REGULA MAIS BRASIL;485025;CONSULTA EM PSIQUIATRIA -TRIAGEM TEA - 12 A 18 ANOS;;;FÍSICO;Sim;
197130;AMBULATORIO VIRTUAL DO REGULA MAIS BRASIL;701231;CONSULTA EM REUMATOLOGIA - GERAL;;;FÍSICO;Sim;
197130;AMBULATORIO VIRTUAL DO REGULA MAIS BRASIL;701233;CONSULTA EM UROLOGIA - GERAL;;;FÍSICO;Sim;
197130;AMBULATORIO VIRTUAL DO REGULA MAIS BRASIL;297000;GRUPO - CE CATARATA;;;FÍSICO;Não;
197130;AMBULATORIO VIRTUAL DO REGULA MAIS BRASIL;277000;GRUPO - CE CIRURGIA CARDIACA;;;FÍSICO;Não;
197130;AMBULATORIO VIRTUAL DO REGULA MAIS BRASIL;294000;GRUPO - CE CIRURGIA COLOPROCTOLOGIA;;;FÍSICO;Não;
197130;AMBULATORIO VIRTUAL DO REGULA MAIS BRASIL;349000;GRUPO - CE CIRURGIA GERAL;;;FÍSICO;Não;
197130;AMBULATORIO VIRTUAL DO REGULA MAIS BRASIL;293000;GRUPO - CE CIRURGIA VASCULAR;;;FÍSICO;Não;
197130;AMBULATORIO VIRTUAL DO REGULA MAIS BRASIL;323000;GRUPO - CE GINECOLOGIA;;;FÍSICO;Não;
197130;AMBULATORIO VIRTUAL DO REGULA MAIS BRASIL;389000;GRUPO - CE GINECOLOGIA GERAL;;;FÍSICO;Não;
197130;AMBULATORIO VIRTUAL DO REGULA MAIS BRASIL;382000;GRUPO - CE UROLOGIA GERAL;;;FÍSICO;Não;
197130;AMBULATORIO VIRTUAL DO REGULA MAIS BRASIL;358000;GRUPO - CE VASCULAR/VENOSA;;;FÍSICO;Não;
197130;AMBULATORIO VIRTUAL DO REGULA MAIS BRASIL;1401000;GRUPO - EXAMES ULTRA-SONOGRAFICOS;;;FINANCEIRO;Não;
197130;AMBULATORIO VIRTUAL DO REGULA MAIS BRASIL;2033001;OCI AVALIACAO DIAGNOSTICA INICIAL DE CANCER DE MAMA;;;FÍSICO;Não;
5891388;ANLAB;1101000;GRUPO - PATOLOGIA CLINICA (EXAMES DE LABORATORIO);1101453;CARIOTIPO COM TECNICAS DE BANDA EM CULTURA DE LONGA DURACAO (1101453);FINANCEIRO;Não;0
5891388;ANLAB;1101000;GRUPO - PATOLOGIA CLINICA (EXAMES DE LABORATORIO);1101454;CARIOTIPO EM MEDULA OSSEA E VILOSIDADES CORIONICAS COM TECNICAS DE BANDA (1101454);FINANCEIRO;Não;0
5891388;ANLAB;1101000;GRUPO - PATOLOGIA CLINICA (EXAMES DE LABORATORIO);1101455;CARIOTIPO EM SANGUE PERIFERICO COM TECNICAS DE BANDA (1101455);FINANCEIRO;Não;0
5891388;ANLAB;2280000;GRUPO - PATOLOGIA CLINICA (EXAMES DE LABORATORIO 2);2280219;17 ALFA HIDROXI PROGESTERONA (2280219);FINANCEIRO;Não;10,2
5891388;ANLAB;2280000;GRUPO - PATOLOGIA CLINICA (EXAMES DE LABORATORIO 2);2280313;ACIDEZ TITULÁVEL NO LEITE HUMANO (DORNIC) (2280313);FINANCEIRO;Não;3,04
5891388;ANLAB;2280000;GRUPO - PATOLOGIA CLINICA (EXAMES DE LABORATORIO 2);2280220;ACIDO ASCORBICO (2280220);FINANCEIRO;Não;2,01
5891388;ANLAB;2280000;GRUPO - PATOLOGIA CLINICA (EXAMES DE LABORATORIO 2);2280001;ACIDO FOLICO (2280001);FINANCEIRO;Não;15,65
5891388;ANLAB;2280000;GRUPO - PATOLOGIA CLINICA (EXAMES DE LABORATORIO 2);2280002;ACIDO URICO (2280002);FINANCEIRO;Não;1,85
